activity,id,rectime,total_adult_utt,total_child_utt,total_adult_resp,total_adult_imitexp,prop_adultresp_outof_childutt,prop_adult_imitexp_outof_childutt,language,segment_num
ac,20001,15242,68,46,62,18,1.3478260869565217,0.391304347826087,english,2
conv,20001,15242,64,34,51,13,1.5,0.38235294117647056,english,2
ods,20001,15242,2,13,1,0,0.07692307692307693,0,english,2
play,20001,15242,65,33,54,15,1.6363636363636365,0.45454545454545453,english,2
ac,20001,14342,91,54,77,25,1.4259259259259258,0.46296296296296297,english,3
conv,20001,14342,43,17,24,5,1.411764705882353,0.29411764705882354,english,3
ods,20001,14342,21,4,9,3,2.25,0.75,english,3
routines,20001,14342,13,3,9,2,3,0.6666666666666666,english,3
ac,20001,21242,50,14,30,9,2.142857142857143,0.6428571428571429,english,4
conv,20001,21242,8,1,4,0,4,0,english,4
ods,20001,21242,81,20,23,1,1.15,0.05,english,4
routines,20001,21242,65,29,56,16,1.9310344827586208,0.5517241379310345,english,4
ods,20001,5,37,7,23,1,3.2857142857142856,0.14285714285714285,english,5
play,20001,5,127,49,106,21,2.163265306122449,0.42857142857142855,english,5
ac,20001,15842,18,6,11,1,1.8333333333333333,0.16666666666666666,english,7
conv,20001,15842,103,24,64,7,2.6666666666666665,0.2916666666666667,english,7
ods,20001,15842,24,16,18,1,1.125,0.0625,english,7
ac,20001,8942,18,2,7,0,3.5,0,english,8
conv,20001,8942,45,13,36,7,2.769230769230769,0.5384615384615384,english,8
ods,20001,8942,80,28,20,3,0.7142857142857143,0.10714285714285714,english,8
ods,20003,1723,0,2,0,0,0,0,english,11
play,20003,1723,64,12,33,15,2.75,1.25,english,11
routines,20003,1723,77,18,36,11,2,0.6111111111111112,english,11
ac,20003,11923,1,0,0,0,NaN,NaN,english,12
books,20003,11923,42,19,33,16,1.736842105263158,0.8421052631578947,english,12
ods,20003,11923,18,3,9,0,3,0,english,12
play,20003,11923,25,9,14,6,1.5555555555555556,0.6666666666666666,english,12
ac,20003,29734,2,0,0,0,NaN,NaN,english,14
ods,20003,29734,26,23,8,0,0.34782608695652173,0,english,14
routines,20003,29734,52,10,22,6,2.2,0.6,english,14
ac,20003,31360,3,1,2,1,2,1,english,15
books,20003,31360,52,31,35,12,1.1290322580645162,0.3870967741935484,english,15
ods,20003,31360,0,4,0,0,0,0,english,15
food,20003,823,29,7,14,1,2,0.14285714285714285,english,16
ods,20003,823,7,3,6,0,2,0,english,16
routines,20003,823,46,9,23,4,2.5555555555555554,0.4444444444444444,english,16
ac,20003,5323,5,4,4,0,1,0,english,19
food,20003,5323,1,0,0,0,NaN,NaN,english,19
routines,20003,5323,67,14,32,7,2.2857142857142856,0.5,english,19
ac,20004,12055,23,5,10,3,2,0.6,english,10
ods,20004,12055,34,15,16,3,1.0666666666666667,0.2,english,10
play,20004,12055,66,19,26,6,1.368421052631579,0.3157894736842105,english,10
ac,20004,5769,41,11,21,0,1.9090909090909092,0,english,11
ods,20004,5769,193,11,28,1,2.5454545454545454,0.09090909090909091,english,11
ac,20004,5169,6,1,3,0,3,0,english,13
conv,20004,5169,11,0,0,0,NaN,NaN,english,13
food,20004,5169,16,8,13,1,1.625,0.125,english,13
ods,20004,5169,70,9,17,0,1.8888888888888888,0,english,13
play,20004,5169,15,2,3,0,1.5,0,english,13
ac,20004,8169,68,22,47,8,2.1363636363636362,0.36363636363636365,english,4
ods,20004,8169,115,30,41,2,1.3666666666666667,0.06666666666666667,english,4
play,20004,8169,17,3,5,3,1.6666666666666667,1,english,4
ac,20004,12655,33,16,20,4,1.25,0.25,english,7
ods,20004,12655,37,14,15,0,1.0714285714285714,0,english,7
play,20004,12655,33,3,13,0,4.333333333333333,0,english,7
ac,20004,6969,32,1,3,1,3,1,english,9
ods,20004,6969,169,20,40,3,2,0.15,english,9
play,20004,6969,5,1,3,0,3,0,english,9
ac,20007,8978,40,28,34,8,1.2142857142857142,0.2857142857142857,english,13
ods,20007,8978,17,0,0,0,NaN,NaN,english,13
ac,20007,7905,17,6,12,0,2,0,english,14
conv,20007,7905,37,14,28,11,2,0.7857142857142857,english,14
ods,20007,7905,41,18,16,0,0.8888888888888888,0,english,14
ac,20007,15191,26,3,4,0,1.3333333333333333,0,english,15
conv,20007,15191,16,10,8,0,0.8,0,english,15
food,20007,15191,6,2,5,1,2.5,0.5,english,15
ods,20007,15191,63,22,26,0,1.1818181818181819,0,english,15
ac,20007,6705,25,12,18,0,1.5,0,english,17
conv,20007,6705,15,10,14,1,1.4,0.1,english,17
ods,20007,6705,44,33,28,1,0.8484848484848485,0.030303030303030304,english,17
ac,20007,17891,18,5,12,2,2.4,0.4,english,20
ods,20007,17891,49,1,4,0,4,0,english,20
ac,20007,13563,22,0,0,0,NaN,NaN,english,22
conv,20007,13563,33,4,9,4,2.25,1,english,22
ods,20007,13563,129,12,16,0,1.3333333333333333,0,english,22
food,20034,1056,47,23,39,7,1.6956521739130435,0.30434782608695654,english,10
ods,20034,1056,34,35,27,7,0.7714285714285715,0.2,english,10
ac,20034,21499,28,13,26,5,2,0.38461538461538464,english,2
books,20034,21499,80,28,48,2,1.7142857142857142,0.07142857142857142,english,2
conv,20034,21499,6,8,5,0,0.625,0,english,2
ods,20034,21499,30,21,16,2,0.7619047619047619,0.09523809523809523,english,2
routines,20034,21499,25,8,20,5,2.5,0.625,english,2
food,20034,19399,61,36,48,9,1.3333333333333333,0.25,english,3
ods,20034,19399,29,38,22,8,0.5789473684210527,0.21052631578947367,english,3
ac,20034,18199,23,21,23,6,1.0952380952380953,0.2857142857142857,english,4
food,20034,18199,51,50,47,7,0.94,0.14,english,4
ods,20034,18199,27,22,23,2,1.0454545454545454,0.09090909090909091,english,4
