ID,Sex,Momed,HI24Final,ethnicity_18m_or_25m,Age24
20001,1,11,14,hispanic_white,24
20003,1,16,50,nonhispanic_white,25
20004,0,11,12,hispanic_white,24
20007,1,10,9,nonhispanic_white,24
20034,1,12,43.5,nonhispanic_white,25
20041,1,12,47,hispanic_white,25
20048,1,14,38.5,hispanic_mixed,25
20050,1,17,56,nonhispanic_white,25
20056,1,18,61,nonhispanic_mixed,24
20071,0,16,51.5,nonhispanic_white,25
20073,1,16,48,nonhispanic_white,23
20086,0,16,63,nonhispanic_white,24
20108,1,18,50.5,nonhispanic_mixed,24
20112,1,11,25.5,nonhispanic_white,26
20113,1,14,40,nonhispanic_white,23
20114,0,14,45,nonhispanic_mixed,23
20117,0,13,15,nonhispanic_white,24
20121,0,16,39,nonhispanic_white,24
20122,0,12,24.5,nonhispanic_white,24
20127,1,16,39,nonhispanic_mixed,24
20128,0,14,23.5,hispanic_white,24
20129,1,12,53.5,nonhispanic_white,24
20132,0,13,15,nonhispanic_white,24
20136,0,16,48,nonhispanic_white,24
20149,0,11,35.5,nonhispanic_white,24
20157,0,13,37,nonhispanic_white,24
20161,1,14,46.5,hispanic_mixed,23
20166,1,16,54.5,nonhispanic_white,23
20167,1,15,40,nonhispanic_white,24
20169,1,16,64.5,hispanic_white,23
20176,0,17,56,nonhispanic_mixed,23
20177,0,18,57,nonhispanic_white,23
20190,0,18,41.5,nonhispanic_white,24
20191,1,16,48,nonhispanic_white,24
20192,0,13,35,nonhispanic_white,24
20200,1,14,35,nonhispanic_white,25
20203,1,16,40,nonhispanic_white,25
20204,1,14,33.5,nonhispanic_white,23
20224,0,18,56,nonhispanic_white,23
20225,1,14,45,nonhispanic_white,25
20227,1,16,44,nonhispanic_white,25
20233,0,14,41,nonhispanic_white,25
20236,0,12,41,nonhispanic_white,25
20242,0,14,33.5,nonhispanic_white,24
20251,1,16,45.5,nonhispanic_white,24
