ID,Sex,HI_18,MomEd_25m,LBQSpan25m,Age25m,MomYrsUS,mom_country_birth
7292,Male,13.5,10,95,25.1,17,mexico
7352,Male,18.5,9,88,26.6,21,mexico
7355,Female,25,12,73.5,26.4,14,mexico
7363,Female,23.5,12,86,26.1,18,mexico
7373,Male,22.5,12,96,25.7,8,mexico
7409,Female,39,6,97.6,28.1,10,mexico
7412,Female,25,6,100,25.8,15,mexico
7433,Male,20,16,75.1,25.9,9,mexico
7446,Female,30.5,16,100,26.6,11,mexico
7448,Male,24,8,88,25.8,11,nicaragua
7473,Male,19,12,100,25.2,8,mexico
7480,Female,29,11,96,25.5,15,mexico
7499,Male,32.5,15,64,25.3,16,el_salvador
7508,Male,46.5,16,89.8,25,18,mexico
7550,Female,31.5,16,79.7,25.7,21,mexico
7552,Male,29.5,11,64.9,25.4,11,mexico
7574,Female,13,7,91,25.1,21,mexico
7579,Male,25.5,16,85,25.4,16,mexico
7580,Female,32,12,100,26.2,8,mexico
7621,Male,18.5,11,67.45,26.3,13,mexico
7660,Female,27.5,12,100,25.8,11,mexico
7692,Male,19,14,69.21,25.3,14,mexico
7739,Female,13.5,9,100,25.3,10,mexico
7749,Male,22,12,92.8,25.5,10,mexico
7780,Male,30.5,11,61.4,25.7,16,mexico
7791,Male,63,16,90.4,25.4,5,mexico
7795,Male,24,14,90.4,25,20,mexico
7812,Male,15.5,8,88.8,25.4,10,mexico
7881,Male,8,6,100,25.4,16,mexico
7908,Female,42.5,14,95.1,25.3,10,guatemala
7912,Female,45,14,99.6,25.4,24,us
7915,Female,17.5,9,98.1,25.1,18,mexico
7920,Male,27.5,12,99.5,25.4,15,mexico
7949,Female,43,16,100,25.2,34,us
7963,Male,36.5,16,87.03,25,12,mexico
7969,Female,22,12,100,25.2,29,us
7995,Female,21,9,82.4,25.3,9,mexico
8022,Female,53.5,18,98.12,25.2,5,mexico
8048,Female,28,14,91.2,26.4,16,mexico
8058,Male,33.5,12,73.6,25.3,17,mexico
8098,Male,46.5,15,100,24.6,5,colombia
8115,Female,27.5,9,97.8,25.2,23,mexico
8130,Male,31.5,16,91.4,25.1,14,mexico
8144,Female,19,12,88.7,26.6,18,mexico
8216,Female,16.5,11,87.37,25.3,12,mexico
