"","activity","id","rectime","segment_num","language","dur_min","Dur10minval","AWCval","Time","Date","dur_10min","tcds_min"
"1","play","20001",15242,2,"english",3.05325,600,728,20.35,"2010.10.18",10,8.94618333333333
"2","ac","20001",15242,2,"english",3.38225,600,728,20.35,"2010.10.18",10,8.94618333333333
"3","conv","20001",15242,2,"english",2.51068333333333,600,728,20.35,"2010.10.18",10,8.94618333333333
"4","ac","20001",14342,3,"english",6.29626666666667,600,681,20.2,"2010.10.18",10,8.66225000000001
"5","conv","20001",14342,3,"english",2.02916666666667,600,681,20.2,"2010.10.18",10,8.66225000000001
"6","routines","20001",14342,3,"english",0.336816666666667,600,681,20.2,"2010.10.18",10,8.66225000000001
"7","routines","20001",21242,4,"english",2.37733333333333,512,602,9.25,"2010.10.19",8.53333333333333,4.37348333333333
"8","ac","20001",21242,4,"english",1.7502,512,602,9.25,"2010.10.19",8.53333333333333,4.37348333333333
"9","conv","20001",21242,4,"english",0.24595,512,602,9.25,"2010.10.19",8.53333333333333,4.37348333333333
"10","play","20001",5,5,"english",6.8589,538,596,16.2,"2010.10.18",8.96666666666667,6.8589
"11","conv","20001",15842,7,"english",3.56365,464,413,20.45,"2010.10.18",7.73333333333333,4.79096666666667
"12","ac","20001",15842,7,"english",1.22731666666667,464,413,20.45,"2010.10.18",7.73333333333333,4.79096666666667
"13","conv","20001",8942,8,"english",2.41261666666667,600,411,18.5,"2010.10.18",10,3.3021
"14","ac","20001",8942,8,"english",0.889483333333333,600,411,18.5,"2010.10.18",10,3.3021
"15","play","20003",1723,11,"english",2.89733333333333,600,328,9.4,"2010.10.19",10,9.264
"16","routines","20003",1723,11,"english",6.36666666666667,600,328,9.4,"2010.10.19",10,9.264
"17","ac","20003",11923,12,"english",0.0187666666666667,466,311,12.3,"2010.10.19",7.76666666666667,6.10456666666667
"18","play","20003",11923,12,"english",2.53833333333333,466,311,12.3,"2010.10.19",7.76666666666667,6.10456666666667
"19","books","20003",11923,12,"english",3.54746666666667,466,311,12.3,"2010.10.19",7.76666666666667,6.10456666666667
"20","ac","20003",29734,14,"english",0.02195,600,220,20.2,"2010.10.19",10,5.87055
"21","routines","20003",29734,14,"english",5.8486,600,220,20.2,"2010.10.19",10,5.87055
"22","books","20003",31360,15,"english",6.57485,509,219,9.2,"2010.10.20",8.48333333333333,7.21941666666667
"23","ac","20003",31360,15,"english",0.644566666666667,509,219,9.2,"2010.10.20",8.48333333333333,7.21941666666667
"24","food","20003",823,16,"english",3.30556666666667,600,213,9.25,"2010.10.19",10,8.91715
"25","routines","20003",823,16,"english",5.61158333333333,600,213,9.25,"2010.10.19",10,8.91715
"26","ac","20003",5323,19,"english",1.44615,600,199,10.4,"2010.10.19",10,9.26876666666667
"27","routines","20003",5323,19,"english",7.81081666666667,600,199,10.4,"2010.10.19",10,9.26876666666667
"28","food","20003",5323,19,"english",0.0118,600,199,10.4,"2010.10.19",10,9.26876666666667
"29","play","20004",12055,10,"english",3.68298333333333,600,165,21.1,"2010.10.18",10,4.40706666666666
"30","ac","20004",12055,10,"english",0.724083333333333,600,165,21.1,"2010.10.18",10,4.40706666666666
"31","ac","20004",5769,11,"english",1.39525,600,151,13.25,"2010.10.12",10,1.39525
"32","ac","20004",5169,13,"english",0.410583333333333,600,117,13.15,"2010.10.12",10,4.4455
"33","food","20004",5169,13,"english",1.76515,600,117,13.15,"2010.10.12",10,4.4455
"34","conv","20004",5169,13,"english",0.6864,600,117,13.15,"2010.10.12",10,4.4455
"35","play","20004",5169,13,"english",1.58336666666667,600,117,13.15,"2010.10.12",10,4.4455
"36","play","20004",8169,4,"english",1.81666666666667,529,252,14.05,"2010.10.12",8.81666666666667,3.73266666666667
"37","ac","20004",8169,4,"english",1.916,529,252,14.05,"2010.10.12",8.81666666666667,3.73266666666667
"38","ac","20004",12655,7,"english",3.10296666666667,600,193,21.2,"2010.10.18",10,5.24665
"39","play","20004",12655,7,"english",2.14368333333333,600,193,21.2,"2010.10.18",10,5.24665
"40","ac","20004",6969,9,"english",1.03718333333333,600,179,13.45,"2010.10.12",10,1.27508333333333
"41","play","20004",6969,9,"english",0.2379,600,179,13.45,"2010.10.12",10,1.27508333333333
"42","ac","20007",8978,13,"english",7.22866666666667,600,159,13.25,"2010.10.18",10,7.22866666666667
"43","conv","20007",7905,14,"english",2.86291666666667,591,149,11.35,"2010.10.18",9.85,3.60003333333334
"44","ac","20007",7905,14,"english",0.737116666666667,591,149,11.35,"2010.10.18",9.85,3.60003333333334
"45","ac","20007",15191,15,"english",1.23605,600,149,15.3,"2010.10.18",10,2.24113333333333
"46","conv","20007",15191,15,"english",0.705983333333333,600,149,15.3,"2010.10.18",10,2.24113333333333
"47","food","20007",15191,15,"english",0.2991,600,149,15.3,"2010.10.18",10,2.24113333333333
"48","ac","20007",6705,17,"english",1.59878333333333,600,122,11.15,"2010.10.18",10,2.37946666666666
"49","conv","20007",6705,17,"english",0.780683333333333,600,122,11.15,"2010.10.18",10,2.37946666666666
"50","ac","20007",17891,20,"english",1.34903333333333,600,110,16.15,"2010.10.18",10,1.34903333333333
"51","ac","20007",13563,22,"english",0.549933333333333,600,101,14.45,"2010.10.18",10,1.45178333333333
"52","conv","20007",13563,22,"english",0.90185,600,101,14.45,"2010.10.18",10,1.45178333333333
"53","food","20034",1056,10,"english",2.09553333333333,456,409,7.15,"2010.11.27",7.6,2.09553333333333
"54","conv","20034",21499,2,"english",0.345,600,556,19.25,"2010.11.28",10,7.70313333333333
"55","routines","20034",21499,2,"english",1.47533333333333,600,556,19.25,"2010.11.28",10,7.70313333333333
"56","ac","20034",21499,2,"english",1.17041666666667,600,556,19.25,"2010.11.28",10,7.70313333333333
"57","books","20034",21499,2,"english",4.71238333333333,600,556,19.25,"2010.11.28",10,7.70313333333333
"58","food","20034",19399,3,"english",5.28301666666667,600,501,18.5,"2010.11.28",10,5.28301666666667
"59","ac","20034",18199,4,"english",1.4848,600,499,18.3,"2010.11.28",10,6.40316666666667
"60","food","20034",18199,4,"english",4.91836666666667,600,499,18.3,"2010.11.28",10,6.40316666666667
"61","routines","20034",16999,6,"english",5.49533333333333,600,456,18.1,"2010.11.28",10,5.49533333333333
"62","play","20034",10456,7,"english",4.99113333333333,600,454,11,"2010.11.27",10,4.99113333333333
"63","ac","20041",19599,14,"english",4.33383333333333,600,490,16.05,"2011.04.18",10,8.50494999999999
"64","conv","20041",19599,14,"english",2.27018333333333,600,490,16.05,"2011.04.18",10,8.50494999999999
"65","play","20041",19599,14,"english",1.90093333333333,600,490,16.05,"2011.04.18",10,8.50494999999999
"66","play","20041",39491,17,"english",4.33688333333333,600,446,11,"2011.04.19",10,4.33688333333333
"67","play","20041",27399,20,"english",5.06511666666667,600,382,18.15,"2011.04.18",10,7.70733333333334
"68","conv","20041",27399,20,"english",2.64221666666667,600,382,18.15,"2011.04.18",10,7.70733333333334
"69","routines","20041",2190,21,"english",1.76408333333333,600,376,8.55,"2011.04.18",10,5.06708333333333
"70","play","20041",2190,21,"english",2.90818333333333,600,376,8.55,"2011.04.18",10,5.06708333333333
