id,rectime,speaker,Speaker2,activity,segment_num,language,speech,n_speakers
20003,11923,CHI,CHI,books,12,english,all,1
20003,11923,MOT,ADULTS,books,12,english,all,1
20003,31360,CHI,CHI,books,15,english,all,1
20003,31360,MOT,ADULTS,books,15,english,all,1
20034,21499,CHI,CHI,books,2,english,all,1
20034,21499,MOT,ADULTS,books,2,english,all,1
20048,17,CHI,CHI,books,11,english,all,1
20048,17,MOT,ADULTS,books,11,english,all,1
20048,948,CHI,CHI,books,5,english,all,1
20048,948,MOT,ADULTS,books,5,english,all,1
20050,4720,CHI,CHI,books,1,english,all,1
20050,4720,MOT,ADULTS,books,1,english,all,1
20050,30220,CHI,CHI,books,2,english,all,1
20050,30220,MOT,ADULTS,books,2,english,all,2
20050,30220,FAT,ADULTS,books,2,english,all,2
20050,31120,CHI,CHI,books,3,english,all,1
20050,31120,MOT,ADULTS,books,3,english,all,2
20050,31120,FAT,ADULTS,books,3,english,all,2
20050,5620,CHI,CHI,books,4,english,all,1
20050,5620,MOT,ADULTS,books,4,english,all,1
20050,37720,CHI,CHI,books,7,english,all,1
20050,37720,GFA,ADULTS,books,7,english,all,1
20056,29376,CHI,CHI,books,2,english,all,1
20056,29376,MOT,ADULTS,books,2,english,all,1
20056,33276,CHI,CHI,books,3,english,all,1
20056,33276,MOT,ADULTS,books,3,english,all,1
20056,9276,CHI,CHI,books,4,english,all,1
20056,9276,MOT,ADULTS,books,4,english,all,1
20056,51473,CHI,CHI,books,7,english,all,1
20056,51473,MOT,ADULTS,books,7,english,all,2
20056,51473,GMA,ADULTS,books,7,english,all,2
20071,8208,CHI,CHI,books,11,english,all,1
20071,8208,MOT,ADULTS,books,11,english,all,1
20071,8808,CHI,CHI,books,1,english,all,1
20071,8808,MOT,ADULTS,books,1,english,all,1
20073,13818,GMA,ADULTS,books,4,english,all,1
20073,13818,CHI,CHI,books,4,english,all,1
20086,33622,CHI,CHI,books,2,english,all,1
20086,33622,GFA,ADULTS,books,2,english,all,1
20086,34222,CHI,CHI,books,4,english,all,1
20086,34222,GFA,ADULTS,books,4,english,all,1
20114,9455,CHI,CHI,books,13,english,all,1
20114,9455,GMA,ADULTS,books,13,english,all,2
20114,9455,ADF,ADULTS,books,13,english,all,2
20114,40955,CHI,CHI,books,1,english,all,1
20114,40955,GMA,ADULTS,books,1,english,all,1
20127,1754,CHI,CHI,books,1,english,all,1
20127,1754,ADF,ADULTS,books,1,english,all,1
20127,1154,CHI,CHI,books,7,english,all,1
20127,1154,ADF,ADULTS,books,7,english,all,1
20132,42453,CHI,CHI,books,1,english,all,1
20132,42453,MOT,ADULTS,books,1,english,all,1
20132,41853,CHI,CHI,books,4,english,all,1
20132,41853,MOT,ADULTS,books,4,english,all,1
20161,4729,CHI,CHI,books,2,english,all,1
20161,4729,MOT,ADULTS,books,2,english,all,1
20161,4129,CHI,CHI,books,5,english,all,1
20161,4129,MOT,ADULTS,books,5,english,all,1
20169,14696,CHI,CHI,books,3,english,all,1
20169,14696,MOT,ADULTS,books,3,english,all,1
20177,11474,CHI,CHI,books,1,english,all,1
20177,11474,MOT,ADULTS,books,1,english,all,1
20177,12074,CHI,CHI,books,2,english,all,1
20177,12074,MOT,ADULTS,books,2,english,all,1
20177,29337,CHI,CHI,books,6,english,all,1
20177,29337,MOT,ADULTS,books,6,english,all,1
20190,15561,CHI,CHI,books,1,english,all,1
20190,15561,MOT,ADULTS,books,1,english,all,1
20190,5162,CHI,CHI,books,4,english,all,1
20190,5162,MOT,ADULTS,books,4,english,all,1
20190,26832,CHI,CHI,books,5,english,all,1
20190,26832,MOT,ADULTS,books,5,english,all,1
20191,13376,CHI,CHI,books,1,english,all,1
20191,13376,MOT,ADULTS,books,1,english,all,1
20191,14276,CHI,CHI,books,4,english,all,1
20191,14276,MOT,ADULTS,books,4,english,all,1
20192,24018,CHI,CHI,books,1,english,all,1
20192,24018,MOT,ADULTS,books,1,english,all,1
20192,38390,CHI,CHI,books,4,english,all,1
20192,38390,MOT,ADULTS,books,4,english,all,1
20200,26030,CHI,CHI,books,1,english,all,1
20200,26030,MOT,ADULTS,books,1,english,all,1
20200,6959,CHI,CHI,books,2,english,all,1
20200,6959,MOT,ADULTS,books,2,english,all,1
20204,10696,CHI,CHI,books,7,english,all,1
20204,10696,MOT,ADULTS,books,7,english,all,1
20227,6645,CHI,CHI,books,2,english,all,1
20227,6645,MOT,ADULTS,books,2,english,all,2
20227,6645,FAT,ADULTS,books,2,english,all,2
20227,8725,CHI,CHI,books,7,english,all,1
20227,8725,MOT,ADULTS,books,7,english,all,2
20227,8725,FAT,ADULTS,books,7,english,all,2
20242,5097,CHI,CHI,books,1,english,all,1
20242,5097,MOT,ADULTS,books,1,english,all,1
20242,5697,CHI,CHI,books,3,english,all,1
20242,5697,MOT,ADULTS,books,3,english,all,1
20251,26614,CHI,CHI,books,2,english,all,1
20251,26614,FAT,ADULTS,books,2,english,all,1
20251,10665,CHI,CHI,books,3,english,all,1
20251,10665,GMA,ADULTS,books,3,english,all,1
20001,15242,CHI,CHI,play,2,english,all,1
20001,15242,FAT,ADULTS,play,2,english,all,1
20001,5,CHI,CHI,play,5,english,all,1
20001,5,MOT,ADULTS,play,5,english,all,2
20001,5,ADF,ADULTS,play,5,english,all,2
20003,1723,CHI,CHI,play,11,english,all,1
20003,1723,MOT,ADULTS,play,11,english,all,1
20003,11923,CHI,CHI,play,12,english,all,1
20003,11923,MOT,ADULTS,play,12,english,all,1
20004,12055,CHI,CHI,play,10,english,all,1
20004,12055,MOT,ADULTS,play,10,english,all,3
20004,12055,FAT,ADULTS,play,10,english,all,3
20004,12055,ADF,ADULTS,play,10,english,all,3
20004,5169,CHI,CHI,play,13,english,all,1
20004,5169,MOT,ADULTS,play,13,english,all,2
20004,5169,ADF,ADULTS,play,13,english,all,2
20004,8169,CHI,CHI,play,4,english,all,1
20004,8169,ADF,ADULTS,play,4,english,all,1
20004,12655,CHI,CHI,play,7,english,all,1
20004,12655,ADM,ADULTS,play,7,english,all,2
20004,12655,ADF,ADULTS,play,7,english,all,2
20004,6969,CHI,CHI,play,9,english,all,1
20004,6969,ADF,ADULTS,play,9,english,all,1
20034,10456,CHI,CHI,play,7,english,all,1
20034,10456,FAT,ADULTS,play,7,english,all,1
20041,19599,CHI,CHI,play,14,english,all,1
20041,19599,MOT,ADULTS,play,14,english,all,1
