id,Age,Sex,RecTime,Duration,AWC,CTC,CVC,Exclude,DNL,True Nap,Time,Date
20003,25m; 18d,F,17734,300,262,8,13,NA,NA,NA,17,2010.10.19
20003,25m; 18d,F,25234,300,228,0,0,NA,NA,NA,19.05,2010.10.19
20003,25m; 18d,F,26434,300,280,6,12,NA,NA,NA,19.25,2010.10.19
20003,25m; 18d,F,27634,300,386,10,18,NA,NA,NA,19.45,2010.10.19
20003,25m; 18d,F,24334,300,261,4,9,NA,NA,NA,18.5,2010.10.19
20003,25m; 19d,F,39669,300,423,0,0,NA,NA,NA,11.4,2010.10.20
20003,25m; 18d,F,10423,300,317,2,6,NA,NA,NA,12.05,2010.10.19
20003,25m; 18d,F,21634,300,151,6,36,NA,NA,NA,18.05,2010.10.19
20003,25m; 18d,F,13834,300,127,0,2,NA,NA,NA,15.55,2010.10.19
20003,25m; 18d,F,16234,300,196,4,12,NA,NA,NA,16.35,2010.10.19
20003,25m; 18d,F,1723,300,227,15,30,NA,NA,NA,9.4,2010.10.19
20003,25m; 18d,F,11923,300,170,10,17,NA,NA,NA,12.3,2010.10.19
20003,25m; 18d,F,23734,300,121,3,11,NA,NA,NA,18.4,2010.10.19
20003,25m; 18d,F,29734,300,106,6,41,NA,NA,NA,20.2,2010.10.19
20003,25m; 19d,F,31360,209,96,7,28,NA,NA,NA,9.2,2010.10.20
20003,25m; 18d,F,823,300,131,5,11,NA,NA,NA,9.25,2010.10.19
20003,25m; 18d,F,27034,300,105,2,4,NA,NA,NA,19.35,2010.10.19
20003,25m; 18d,F,8623,300,99,4,10,NA,NA,NA,11.35,2010.10.19
20003,25m; 18d,F,5323,300,127,3,19,NA,NA,NA,10.4,2010.10.19
20003,25m; 18d,F,27334,300,99,4,9,NA,NA,NA,19.4,2010.10.19
20003,25m; 18d,F,18034,300,447,6,20,NA,NA,NA,17.05,2010.10.19
20003,25m; 19d,F,39369,300,30,1,4,NA,NA,NA,11.35,2010.10.20
20003,25m; 18d,F,25534,300,396,4,6,NA,NA,NA,19.1,2010.10.19
20003,25m; 18d,F,24034,300,142,13,39,NA,NA,NA,18.45,2010.10.19
20003,25m; 18d,F,24634,300,264,4,7,NA,NA,NA,18.55,2010.10.19
20003,25m; 18d,F,21934,300,291,8,23,NA,NA,NA,18.1,2010.10.19
20003,25m; 18d,F,26734,300,285,7,11,NA,NA,NA,19.3,2010.10.19
20003,25m; 18d,F,24934,300,138,4,11,NA,NA,NA,19,2010.10.19
20003,25m; 18d,F,10123,300,23,1,19,NA,NA,NA,12,2010.10.19
20003,25m; 18d,F,26134,300,42,4,34,NA,NA,NA,19.2,2010.10.19
20003,25m; 18d,F,27934,300,141,17,36,NA,NA,NA,19.5,2010.10.19
20003,25m; 18d,F,17434,300,11,0,3,NA,NA,NA,16.55,2010.10.19
20003,25m; 18d,F,1423,300,43,3,24,NA,NA,NA,9.35,2010.10.19
20003,25m; 18d,F,14134,300,227,12,38,NA,NA,NA,16,2010.10.19
20003,25m; 18d,F,15934,300,10,2,36,NA,NA,NA,16.3,2010.10.19
20003,25m; 19d,F,31569,300,123,12,47,NA,NA,NA,9.25,2010.10.20
20003,25m; 18d,F,22234,300,106,9,31,NA,NA,NA,18.15,2010.10.19
20003,25m; 18d,F,11623,300,19,0,3,NA,NA,NA,12.25,2010.10.19
20003,25m; 18d,F,9523,300,105,2,2,NA,NA,NA,11.5,2010.10.19
20003,25m; 18d,F,5623,300,72,0,1,NA,NA,NA,10.45,2010.10.19
20003,25m; 18d,F,21334,300,31,2,26,NA,NA,NA,18,2010.10.19
20003,25m; 19d,F,32769,300,101,6,28,NA,1,NA,9.45,2010.10.20
20003,25m; 18d,F,523,300,45,3,34,NA,NA,NA,9.2,2010.10.19
20003,25m; 18d,F,9223,300,64,0,7,NA,NA,NA,11.45,2010.10.19
20003,25m; 18d,F,8923,300,104,0,1,NA,NA,NA,11.4,2010.10.19
20003,25m; 19d,F,39069,300,136,9,12,NA,NA,NA,11.3,2010.10.20
20003,25m; 18d,F,10723,300,146,2,2,NA,NA,NA,12.1,2010.10.19
20003,25m; 18d,F,28234,300,145,10,33,NA,NA,NA,19.55,2010.10.19
20003,25m; 18d,F,5023,300,26,1,9,NA,NA,NA,10.35,2010.10.19
20003,25m; 18d,F,5923,300,111,3,15,NA,NA,NA,10.5,2010.10.19
20003,25m; 18d,F,15034,300,97,7,33,NA,NA,NA,16.15,2010.10.19
20003,25m; 19d,F,35469,300,104,3,11,NA,NA,NA,10.3,2010.10.20
20003,25m; 19d,F,38769,300,1,0,3,NA,NA,NA,11.25,2010.10.20
20003,25m; 18d,F,16534,300,136,9,41,NA,NA,NA,16.4,2010.10.19
20003,25m; 18d,F,13534,300,8,1,3,NA,NA,NA,15.5,2010.10.19
20003,25m; 19d,F,32469,300,34,1,7,NA,1,NA,9.4,2010.10.20
20003,25m; 18d,F,12934,300,61,1,8,NA,NA,NA,15.4,2010.10.19
20003,25m; 18d,F,1123,300,82,5,7,NA,NA,NA,9.3,2010.10.19
20003,25m; 18d,F,8323,300,24,1,5,NA,NA,NA,11.3,2010.10.19
20003,25m; 18d,F,22534,300,85,8,49,NA,NA,NA,18.2,2010.10.19
20003,24m; 2d,F,0,4,0,0,0,1,NA,NA,9.5,2010.09.03
20003,25m; 12d,F,4,7,15,0,0,1,NA,NA,18.1,2010.10.13
20003,25m; 18d,F,11,212,54,4,11,NA,NA,NA,9.1,2010.10.19
20003,25m; 18d,F,223,300,12,1,4,NA,NA,NA,9.15,2010.10.19
20003,25m; 18d,F,2023,300,101,7,14,NA,NA,NA,9.45,2010.10.19
20003,25m; 18d,F,2323,300,6,0,53,NA,NA,NA,9.5,2010.10.19
20003,25m; 18d,F,2623,300,22,2,13,NA,NA,NA,9.55,2010.10.19
20003,25m; 18d,F,2923,300,9,1,17,NA,NA,NA,10,2010.10.19
20003,25m; 18d,F,3223,300,2,0,21,NA,NA,NA,10.05,2010.10.19
20003,25m; 18d,F,3523,300,0,0,7,NA,NA,NA,10.1,2010.10.19
20003,25m; 18d,F,3823,300,5,1,15,NA,NA,NA,10.15,2010.10.19
20003,25m; 18d,F,4123,300,3,0,3,NA,NA,NA,10.2,2010.10.19
20003,25m; 18d,F,4423,300,20,1,10,NA,NA,NA,10.25,2010.10.19
20003,25m; 18d,F,4723,300,29,2,13,NA,NA,NA,10.3,2010.10.19
20003,25m; 18d,F,6223,300,40,6,24,NA,NA,NA,10.55,2010.10.19
20003,25m; 18d,F,6523,300,27,1,6,NA,NA,NA,11,2010.10.19
20003,25m; 18d,F,6823,300,0,0,2,NA,NA,NA,11.05,2010.10.19
20003,25m; 18d,F,7123,300,0,0,0,NA,NA,NA,11.1,2010.10.19
