id,segment_num,activity_both,coder1_dur,coder2_dur,coder1_ant,coder2_ant
7292,context12,ac,146.91,195.909,ac,ac
7292,context12,conv,no_code,12.728,no_code,conv
7292,context12,play,12.644,13.352,play,play
7352,context1,ac,0.845,no_code,ac,no_code
7352,context1,food,444.21,443.723,food,food
7355,context8,ac,29.549,15.948,ac,ac
7355,context8,conv,48.974,51.318,conv,conv
7355,context8,routines,no_code,8.031,no_code,routines
7363,context10,ac,3.577,25.382,ac,ac
7363,context10,routines,122.924,136.362,routines,routines
7373,context4,ac,122.653,44.871,ac,ac
7373,context4,conv,71.139,53.323,conv,conv
7373,context4,play,133.979,146.007,play,play
7373,context4,routines,122.28,76.797,routines,routines
7409,context6,ac,331.282,no_code,ac,no_code
7409,context6,conv,no_code,451.8,no_code,conv
7409,context6,play,120.115,no_code,play,no_code
7412,context3,conv,299.726,299.647,conv,conv
7412,context3,play,297.684,297.731,play,play
7433,context4,ac,283.447,22.864,ac,ac
7433,context4,conv,no_code,82.305,no_code,conv
7433,context4,food,67.659,81.34,food,food
7446,context2,ac,441.982,595.878,ac,ac
7446,context2,food,97.466,no_code,food,no_code
7448,context5,ac,91.753,7.885,ac,ac
7448,context5,books,68.951,163.131,books,books
7473,context2,play,588.608,588.687,play,play
7480,context13,ac,0.818,92.7,ac,ac
7480,context13,conv,36.528,64.827,conv,conv
7480,context13,food,90.513,no_code,food,no_code
7480,context13,play,257.379,255.862,play,play
7499,context3,ac,13.854,23.827,ac,ac
7499,context3,play,449.245,451.473,play,play
7499,context3,routines,78.353,50.959,routines,routines
7508,context18,ac,266.352,314.808,ac,ac
7550,context5,ac,17.052,142.663,ac,ac
7550,context5,conv,157.955,no_code,conv,no_code
7550,context5,food,no_code,87.332,no_code,food
7550,context5,routines,243.113,212.503,routines,routines
7552,context7,conv,no_code,54.703,no_code,conv
7552,context7,food,599.483,544.022,food,food
7574,context1,books,532.056,547.309,books,books
7574,context1,conv,34.712,36.778,conv,conv
7579,context5,ac,397.399,451.54,ac,ac
7579,context5,conv,74.725,64.929,conv,conv
7579,context5,play,52.376,no_code,play,no_code
7580,context6,ac,10.406,283.205,ac,ac
7580,context6,conv,50.903,no_code,conv,no_code
7621,context5,ac,397.848,460.521,ac,ac
7621,context5,conv,42.286,no_code,conv,no_code
7660,context15,ac,430.31,143.273,ac,ac
7660,context15,conv,no_code,305.215,no_code,conv
7692,context7,ac,234.345,259.149,ac,ac
7692,context7,conv,317.269,293.424,conv,conv
7739,context4,books,212.714,212.8,books,books
7739,context4,routines,383.053,383.04,routines,routines
7749,context1,ac,13.789,no_code,ac,no_code
7749,context1,conv,144.939,158.845,conv,conv
7749,context1,routines,98.408,84.029,routines,routines
7780,context50,ac,243.755,261.054,ac,ac
7791,context2,ac,0.7,1.754,ac,ac
7791,context2,books,317.862,331.547,books,books
7795,context11,ac,35.847,117.546,ac,ac
7795,context11,conv,104.794,14.183,conv,conv
7795,context11,play,241.922,237.446,play,play
7812,context5,ac,54.594,1.241,ac,ac
7812,context5,conv,83.997,162.19,conv,conv
7812,context5,food,30.796,no_code,food,no_code
7881,context4,ac,3.261,no_code,ac,no_code
7881,context4,play,462.98,463.445,play,play
7908,context7,books,no_code,17.433,no_code,books
7908,context7,conv,469.664,453.45,conv,conv
7908,context7,play,14.47,no_code,play,no_code
7912,context10,ac,219.451,no_code,ac,no_code
7912,context10,conv,242.86,560.017,conv,conv
7912,context10,routines,43.708,no_code,routines,no_code
7915,context1,books,598.87,598.935,books,books
7920,context6,ac,0.244,no_code,ac,no_code
7920,context6,play,131.45,131.914,play,play
7949,context2,books,491.769,504.674,books,books
7963,context21,ac,33.928,no_code,ac,no_code
7963,context21,food,132.94,196.368,food,food
7969,context14,ac,4.592,no_code,ac,no_code
7969,context14,food,293.651,260.798,food,food
7995,context5,ac,15.196,21.419,ac,ac
7995,context5,conv,273.246,272.516,conv,conv
7995,context5,routines,183.007,182.944,routines,routines
8022,context7,books,183.39,200.276,books,books
8022,context7,food,415.377,no_code,food,no_code
8022,context7,play,no_code,399.069,no_code,play
8048,context6,conv,74.922,187.021,conv,conv
8048,context6,play,229.997,117.338,play,play
8058,context13,conv,69.223,69.38,conv,conv
8098,context19,ac,280.607,273.63,ac,ac
8098,context19,routines,151.829,150.541,routines,routines
8115,context13,ac,3.192,0.559,ac,ac
8115,context13,conv,43.267,43.261,conv,conv
8115,context13,food,135.525,137.893,food,food
8115,context13,routines,62.513,58.523,routines,routines
8130,context10,books,477.59,480.359,books,books
8130,context10,conv,79.18,75.017,conv,conv
8144,context2,books,595.024,595.972,books,books
8216,context2,ac,103.965,92.92,ac,ac
8216,context2,conv,no_code,40.9,no_code,conv
8216,context2,food,373.744,114.901,food,food
